date,price,volume
2013-11-08 01:00:00,10.773,55
2013-11-09 01:00:00,6.295,90
2013-11-10 01:00:00,4.476,91
2013-11-11 01:00:00,4.436,66
2013-11-12 01:00:00,4.202,58
2013-11-13 01:00:00,3.747,51
2013-11-14 01:00:00,3.8,69
2013-11-15 01:00:00,3.714,58
2013-11-16 01:00:00,3.524,64
2013-11-17 01:00:00,2.91,108
2013-11-18 01:00:00,2.809,67
2013-11-19 01:00:00,2.926,57
2013-11-20 01:00:00,3.068,48
2013-11-21 01:00:00,2.905,79
2013-11-22 01:00:00,2.807,59
2013-11-23 01:00:00,2.674,68
2013-11-24 01:00:00,2.541,91
2013-11-25 01:00:00,2.509,75
2013-11-26 01:00:00,2.33,76
2013-11-27 01:00:00,2.641,62
2013-11-28 01:00:00,2.464,70
2013-11-29 01:00:00,2.322,93
2013-11-30 01:00:00,2.247,113
2013-12-01 01:00:00,2.549,134
2013-12-02 01:00:00,2.478,75
2013-12-03 01:00:00,2.325,80
2013-12-04 01:00:00,2.421,85
2013-12-05 01:00:00,2.275,87
2013-12-06 01:00:00,2.467,70
2013-12-07 01:00:00,2.45,79
2013-12-08 01:00:00,2.379,98
2013-12-09 01:00:00,2.269,103
2013-12-10 01:00:00,2.29,84
2013-12-11 01:00:00,2.286,78
2013-12-12 01:00:00,2.154,92
2013-12-13 01:00:00,2.069,70
2013-12-14 01:00:00,2.14,90
2013-12-15 01:00:00,2.1,81
2013-12-16 01:00:00,1.992,104
2013-12-17 01:00:00,2.029,78
2013-12-18 01:00:00,1.891,92
2013-12-19 01:00:00,1.882,87
2013-12-20 01:00:00,1.871,118
2013-12-21 01:00:00,1.812,137
2013-12-22 01:00:00,1.792,118
2013-12-23 01:00:00,1.886,107
2013-12-24 01:00:00,1.97,97
2013-12-25 01:00:00,2.087,83
2013-12-26 01:00:00,2.135,117
2013-12-27 01:00:00,2.184,132
2013-12-28 01:00:00,2.105,119
2013-12-29 01:00:00,2.081,123
2013-12-30 01:00:00,1.964,131
2013-12-31 01:00:00,2.145,81
2014-01-01 01:00:00,2.103,113
2014-01-02 01:00:00,2.08,99
2014-01-03 01:00:00,2.069,92
2014-01-04 01:00:00,2.132,155
2014-01-05 01:00:00,2.225,127
2014-01-06 01:00:00,2.217,116
2014-01-07 01:00:00,2.277,123
2014-01-08 01:00:00,2.167,109
2014-01-09 01:00:00,2.28,113
2014-01-10 01:00:00,2.18,119
2014-01-11 01:00:00,2.266,98
2014-01-12 01:00:00,2.104,116
2014-01-13 01:00:00,2.076,131
2014-01-14 01:00:00,2.117,123
2014-01-15 01:00:00,2.199,108
2014-01-16 01:00:00,2.094,89
2014-01-17 01:00:00,1.957,117
2014-01-18 01:00:00,2.166,137
2014-01-19 01:00:00,2.126,143
2014-01-20 01:00:00,2.271,98
2014-01-21 01:00:00,2.133,106
2014-01-22 01:00:00,2.074,113
2014-01-23 01:00:00,2.143,119
2014-01-24 01:00:00,2.258,124
2014-01-25 01:00:00,2.295,101
2014-01-26 01:00:00,2.18,137
2014-01-27 01:00:00,1.984,128
2014-01-28 01:00:00,2.024,122
2014-01-29 01:00:00,2.058,114
2014-01-30 01:00:00,1.948,126
2014-01-31 01:00:00,1.936,136
2014-02-01 01:00:00,2.028,149
2014-02-02 01:00:00,1.927,154
2014-02-03 01:00:00,2.035,126
2014-02-04 01:00:00,1.914,138
2014-02-05 01:00:00,2.052,97
2014-02-06 01:00:00,1.949,137
2014-02-07 01:00:00,1.92,152
2014-02-08 01:00:00,1.942,176
2014-02-09 01:00:00,1.983,135
2014-02-10 01:00:00,2.064,127
2014-02-11 01:00:00,2.076,97
2014-02-12 01:00:00,1.981,117
2014-02-13 01:00:00,1.769,121
2014-02-14 01:00:00,1.51,157
2014-02-15 01:00:00,1.4,177
2014-02-16 01:00:00,1.412,170
2014-02-17 01:00:00,1.354,105
2014-02-18 01:00:00,1.318,134
2014-02-19 01:00:00,1.383,125
2014-02-20 01:00:00,1.363,131
2014-02-21 01:00:00,1.163,199
2014-02-22 01:00:00,1.042,231
2014-02-23 01:00:00,1.162,184
2014-02-24 01:00:00,1.275,150
2014-02-25 01:00:00,1.365,124
2014-02-26 01:00:00,1.385,125
2014-02-27 01:00:00,1.365,117
2014-02-28 01:00:00,1.419,140
2014-03-01 01:00:00,1.379,154
2014-03-02 01:00:00,1.334,173
2014-03-03 01:00:00,1.427,153
2014-03-04 01:00:00,1.236,103
2014-03-05 01:00:00,1.23,161
2014-03-06 01:00:00,1.436,131
2014-03-07 01:00:00,1.435,154
2014-03-08 01:00:00,1.545,140
2014-03-09 01:00:00,1.393,144
2014-03-10 01:00:00,1.369,140
2014-03-11 01:00:00,1.345,113
2014-03-12 01:00:00,1.336,145
2014-03-13 01:00:00,1.421,85
2014-03-14 01:00:00,1.647,114
2014-03-15 01:00:00,1.36,208
2014-03-16 01:00:00,1.297,210
2014-03-17 01:00:00,1.318,146
2014-03-18 01:00:00,1.451,129
2014-03-19 01:00:00,1.472,146
2014-03-20 01:00:00,1.489,114
2014-03-21 01:00:00,1.521,137
2014-03-22 01:00:00,1.511,160
