date,price,volume
2021-05-03 01:00:00,10.002,2
2021-05-04 01:00:00,15.471,115
2021-05-05 01:00:00,10.689,62
2021-05-06 01:00:00,9.693,87
2021-05-07 01:00:00,7.276,94
2021-05-08 01:00:00,6.855,89
2021-05-09 01:00:00,6.235,88
2021-05-10 01:00:00,5.91,82
2021-05-11 01:00:00,5.991,87
2021-05-12 01:00:00,6.133,87
2021-05-13 01:00:00,5.805,79
2021-05-14 01:00:00,5.18,86
2021-05-15 01:00:00,5.228,95
2021-05-16 01:00:00,5.057,68
2021-05-17 01:00:00,5.136,67
2021-05-18 01:00:00,4.773,76
2021-05-19 01:00:00,4.854,85
2021-05-20 01:00:00,4.745,84
2021-05-21 01:00:00,4.88,90
2021-05-22 01:00:00,5.061,97
2021-05-23 01:00:00,4.897,69
2021-05-24 01:00:00,5.132,87
2021-05-25 01:00:00,5.027,86
2021-05-26 01:00:00,4.918,85
2021-05-27 01:00:00,4.495,75
2021-05-28 01:00:00,4.34,77
2021-05-29 01:00:00,4.18,75
2021-05-30 01:00:00,3.765,82
2021-05-31 01:00:00,3.447,138
2021-06-01 01:00:00,3.563,63
2021-06-02 01:00:00,3.691,85
2021-06-03 01:00:00,3.706,81
2021-06-04 01:00:00,3.557,74
2021-06-05 01:00:00,3.775,78
2021-06-06 01:00:00,3.617,83
2021-06-07 01:00:00,3.838,82
2021-06-08 01:00:00,3.858,84
2021-06-09 01:00:00,3.835,53
2021-06-10 01:00:00,3.778,61
2021-06-11 01:00:00,3.87,60
2021-06-12 01:00:00,3.749,66
2021-06-13 01:00:00,3.788,98
2021-06-14 01:00:00,3.453,61
2021-06-15 01:00:00,3.32,55
2021-06-16 01:00:00,3.463,85
2021-06-17 01:00:00,3.524,62
2021-06-18 01:00:00,3.461,70
2021-06-19 01:00:00,3.385,78
2021-06-20 01:00:00,3.317,78
2021-06-21 01:00:00,3.097,49
2021-06-22 01:00:00,2.925,75
2021-06-23 01:00:00,2.862,46
2021-06-24 01:00:00,2.688,96
2021-06-25 01:00:00,2.612,86
2021-06-26 01:00:00,2.719,92
2021-06-27 01:00:00,2.716,52
2021-06-28 01:00:00,2.666,61
2021-06-29 01:00:00,2.587,56
2021-06-30 01:00:00,2.612,84
2021-07-01 01:00:00,2.485,61
2021-07-02 01:00:00,2.517,68
2021-07-03 01:00:00,2.535,90
2021-07-04 01:00:00,2.65,71
2021-07-05 01:00:00,2.401,68
2021-07-06 01:00:00,2.476,81
2021-07-07 01:00:00,2.452,49
2021-07-08 01:00:00,2.447,56
2021-07-09 01:00:00,2.519,97
2021-07-10 01:00:00,2.5,66
2021-07-11 01:00:00,2.494,73
2021-07-12 01:00:00,2.526,51
2021-07-13 01:00:00,2.453,53
2021-07-14 01:00:00,2.461,59
2021-07-15 01:00:00,2.335,77
2021-07-16 01:00:00,2.319,42
2021-07-17 01:00:00,2.419,78
2021-07-18 01:00:00,2.391,77
2021-07-19 01:00:00,2.276,82
2021-07-20 01:00:00,2.372,69
2021-07-21 01:00:00,2.368,54
2021-07-22 01:00:00,2.366,77
2021-07-23 01:00:00,2.398,63
2021-07-24 01:00:00,2.236,64
2021-07-25 01:00:00,2.262,65
2021-07-26 01:00:00,2.35,70
2021-07-27 01:00:00,2.295,41
2021-07-28 01:00:00,2.435,103
2021-07-29 01:00:00,2.18,78
2021-07-30 01:00:00,2.246,93
2021-07-31 01:00:00,2.23,71
2021-08-01 01:00:00,2.204,82
2021-08-02 01:00:00,2.238,69
2021-08-03 01:00:00,2.144,99
2021-08-04 01:00:00,2.166,66
2021-08-05 01:00:00,2.229,39
2021-08-06 01:00:00,2.195,69
2021-08-07 01:00:00,2.136,66
2021-08-08 01:00:00,2.192,52
2021-08-09 01:00:00,2.073,107
2021-08-10 01:00:00,2.006,53
2021-08-11 01:00:00,1.964,71
2021-08-12 01:00:00,1.901,98
2021-08-13 01:00:00,1.886,81
2021-08-14 01:00:00,1.966,96
2021-08-15 01:00:00,1.998,58
2021-08-16 01:00:00,2.008,76
2021-08-17 01:00:00,2.042,75
2021-08-18 01:00:00,2.106,71
2021-08-19 01:00:00,1.992,44
2021-08-20 01:00:00,1.974,85
2021-08-21 01:00:00,1.938,69
2021-08-22 01:00:00,1.992,82
2021-08-23 01:00:00,1.88,73
2021-08-24 01:00:00,1.904,65
2021-08-25 01:00:00,1.867,88
2021-08-26 01:00:00,1.929,75
2021-08-27 01:00:00,1.869,68
2021-08-28 01:00:00,1.876,109
2021-08-29 01:00:00,1.885,82
2021-08-30 01:00:00,1.844,83
2021-08-31 01:00:00,1.939,79
2021-09-01 01:00:00,1.847,86
2021-09-02 01:00:00,1.732,66
2021-09-03 01:00:00,1.898,85
2021-09-04 01:00:00,1.924,87
2021-09-05 01:00:00,1.861,85
2021-09-06 01:00:00,1.785,78
2021-09-07 01:00:00,1.834,77
2021-09-08 01:00:00,1.835,95
2021-09-09 01:00:00,1.806,69
2021-09-10 01:00:00,1.81,96
2021-09-11 01:00:00,1.921,119
2021-09-12 01:00:00,1.952,99
2021-09-13 01:00:00,1.922,70
2021-09-14 01:00:00,1.851,62
2021-09-15 01:00:00,1.949,107
2021-09-16 01:00:00,1.838,73
2021-09-17 01:00:00,1.827,49
2021-09-18 01:00:00,1.87,101
2021-09-19 01:00:00,1.833,93
2021-09-20 01:00:00,1.81,79
2021-09-21 01:00:00,1.733,91
2021-09-22 01:00:00,1.461,113
2021-09-23 01:00:00,1.257,72
2021-09-24 01:00:00,1.312,79
2021-09-25 01:00:00,1.334,74
2021-09-26 01:00:00,1.355,55
2021-09-27 01:00:00,1.416,77
2021-09-28 01:00:00,1.428,100
2021-09-29 01:00:00,1.38,64
2021-09-30 01:00:00,1.421,70
2021-10-01 01:00:00,1.463,49
2021-10-02 01:00:00,1.484,86
2021-10-03 01:00:00,1.471,53
2021-10-04 01:00:00,1.416,57
2021-10-05 01:00:00,1.475,87
2021-10-06 01:00:00,1.416,70
2021-10-07 01:00:00,1.433,45
2021-10-08 01:00:00,1.382,65
2021-10-09 01:00:00,1.426,70
2021-10-10 01:00:00,1.466,72
2021-10-11 01:00:00,1.475,48
2021-10-12 01:00:00,1.452,53
2021-10-13 01:00:00,1.451,69
2021-10-14 01:00:00,1.513,44
2021-10-15 01:00:00,1.541,57
2021-10-16 01:00:00,1.545,31
2021-10-17 01:00:00,1.495,99
2021-10-18 01:00:00,1.451,46
2021-10-19 01:00:00,1.423,54
2021-10-20 01:00:00,1.49,67
2021-10-21 01:00:00,1.389,52
2021-10-22 01:00:00,1.285,59
2021-10-23 01:00:00,1.331,43
2021-10-24 01:00:00,1.346,37
2021-10-25 01:00:00,1.284,43
2021-10-26 01:00:00,1.393,54
2021-10-27 01:00:00,1.356,47
2021-10-28 01:00:00,1.372,45
2021-10-29 01:00:00,1.404,70
2021-10-30 01:00:00,1.322,39
2021-10-31 01:00:00,1.343,27
2021-11-01 01:00:00,1.377,58
2021-11-02 01:00:00,1.371,57
2021-11-03 01:00:00,1.469,48
2021-11-04 01:00:00,1.354,33
2021-11-05 01:00:00,1.453,44
2021-11-06 01:00:00,1.379,42
2021-11-07 01:00:00,1.451,105
2021-11-08 01:00:00,1.422,56
2021-11-09 01:00:00,1.388,63
2021-11-10 01:00:00,1.377,56
2021-11-11 01:00:00,1.355,48
2021-11-12 01:00:00,1.36,61
2021-11-13 01:00:00,1.349,100
2021-11-14 01:00:00,1.305,70
2021-11-15 01:00:00,1.368,53
2021-11-16 01:00:00,1.423,49
2021-11-17 01:00:00,1.415,67
2021-11-18 01:00:00,1.423,68
2021-11-19 01:00:00,1.508,41
2021-11-20 01:00:00,1.495,49
2021-11-21 01:00:00,1.455,46
